LAT,LON,PLOT,INVYR,STATECD,UNITCD,COUNTYCD
46.067427,-121.970397,"94926","2005","53","7","59"
46.114581,-121.794667,"61662","2003","53","7","59"
46.091039,-121.870242,"90996","2003","53","7","59"
46.164853,-121.831171,"64365","2004","53","7","59"
46.213096,-121.977314,"88391","2003","53","7","59"
45.996333,-121.653348,"77807","2003","53","7","59"
46.12331,-121.865776,"73793","2003","53","7","59"
46.116932,-121.941375,"68139","2003","53","7","59"
46.114803,-121.836435,"95210","2005","53","7","59"
46.142199,-121.860699,"68674","2005","53","7","59"
46.097341,-121.792858,"91422","2005","53","7","59"
46.163404,-121.893427,"51130","2006","53","7","59"
46.169213,-122.006185,"85117","2008","53","7","59"
46.166367,-121.934558,"65350","2006","53","7","59"
46.064363,-121.901451,"84303","2006","53","7","59"
46.073332,-121.941238,"72420","2007","53","7","59"
46.267641,-121.975363,"90126","2006","53","7","59"
46.166449,-121.858223,"99863","2006","53","7","59"
46.073529,-121.796188,"85560","2006","53","7","59"
46.145049,-121.969756,"54799","2007","53","7","59"
46.039173,-121.690407,"58845","2009","53","7","59"
46.143867,-121.90083,"75144","2009","53","7","59"
46.117274,-121.726175,"79530","2006","53","7","59"
46.042496,-121.654864,"56318","2008","53","7","59"
46.017841,-121.655462,"70097","2008","53","7","59"
46.213096,-121.977314,"88391","2013","53","7","59"
46.164354,-121.966757,"54268","2012","53","7","59"
46.116932,-121.941375,"68139","2013","53","7","59"
46.12331,-121.865776,"73793","2013","53","7","59"
46.114581,-121.794667,"61662","2013","53","7","59"
45.996333,-121.653348,"77807","2013","53","7","59"
46.26792,-122.004493,"83509","2006","53","7","59"
46.038674,-121.61598,"64841","2011","53","7","59"
46.092743,-121.902415,"54718","2008","53","7","59"
46.239567,-121.971594,"86348","2012","53","7","59"
46.091039,-121.870242,"90996","2013","53","7","59"
46.068259,-121.760356,"80196","2010","53","7","59"
46.018251,-121.690797,"63315","2010","53","7","59"
46.143361,-121.832488,"83296","2011","53","7","59"
46.145399,-121.794034,"61657","2012","53","7","59"
46.093578,-121.931734,"92895","2012","53","7","59"
46.196399,-121.971169,"65627","2011","53","7","59"
46.14522,-121.942173,"99265","2009","53","7","59"
46.062835,-121.721427,"94469","2009","53","7","59"
46.119677,-121.971666,"60077","2011","53","7","59"
46.117557,-121.752442,"73064","2009","53","7","59"
46.119018,-121.900858,"65221","2011","53","7","59"
46.09526,-121.821615,"89601","2010","53","7","59"
46.08838,-121.763332,"95184","2009","53","7","59"
46.097341,-121.792858,"91422","2015","53","7","59"
46.067427,-121.970397,"94926","2015","53","7","59"
46.163404,-121.893427,"51130","2016","53","7","59"
46.117274,-121.726175,"79530","2016","53","7","59"
46.164853,-121.831171,"64365","2014","53","7","59"
46.267641,-121.975363,"90126","2016","53","7","59"
46.142199,-121.860699,"68674","2015","53","7","59"
46.114803,-121.836435,"95210","2015","53","7","59"
46.064363,-121.901451,"84303","2016","53","7","59"
46.166449,-121.858223,"99863","2016","53","7","59"
46.166367,-121.934558,"65350","2016","53","7","59"
46.068259,-121.760356,"80196","2020","53","7","59"
46.038674,-121.61598,"64841","2021","53","7","59"
46.169213,-122.006185,"85117","2018","53","7","59"
46.119677,-121.971666,"60077","2021","53","7","59"
46.018251,-121.690797,"63315","2020","53","7","59"
46.119018,-121.900858,"65221","2021","53","7","59"
46.143361,-121.832488,"83296","2021","53","7","59"
46.196399,-121.971169,"65627","2021","53","7","59"
46.039173,-121.690407,"58845","2019","53","7","59"
46.143867,-121.90083,"75144","2019","53","7","59"
46.09526,-121.821615,"89601","2020","53","7","59"
46.08838,-121.763332,"95184","2019","53","7","59"
46.117557,-121.752442,"73064","2019","53","7","59"
46.14522,-121.942173,"99265","2019","53","7","59"
46.073332,-121.941238,"72420","2017","53","7","59"
